Geneid	CG-in_S31	CG-out_S32	Nav-in_S36	Nav-out_S1	QB-in_S33	QB-out_S34
ENSG00000223972	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000227232	0.0	1.0072516382504824	0.0	0.4436529607719657	0.0	0.0
ENSG00000278267	10.7577572311459	10.00586002409119	10.42036109174286	8.814340441219494	0.0	0.0
ENSG00000243485	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284332	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237613	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000268020	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000240361	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000186092	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000238009	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000239945	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233750	0.0	0.0	0.0	0.0	0.17175881348071567	0.0
ENSG00000268903	0.9689105850568495	1.8023800838098039	4.692612941976917	6.350994966918418	1.7344227734794386	4.7860370856676955
ENSG00000269981	2.575801027175779	11.978846507714806	12.475080180255539	12.662855281751952	6.916316165371353	2.5446887321683875
ENSG00000239906	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000241860	0.0	0.0	0.0	0.3870057465717034	0.0	0.0
ENSG00000222623	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000241599	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000279928	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000279457	1.5709251790649705	0.9740851562465296	5.072187217169038	2.145222440955353	4.686790243296263	4.138534573719811
ENSG00000273874	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228463	0.0889503273003309	0.0	0.0	0.07288121960152306	0.0	0.08787592411670987
ENSG00000236679	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000236601	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000237094	0.0	0.10967093514477771	0.7994990134863962	0.48305540780377637	0.6332152775517292	0.0
ENSG00000269732	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284733	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000233653	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000250575	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000278757	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000230021	0.0	0.0	0.0	0.11076975605302639	0.0	0.13355971168653152
ENSG00000235146	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000225972	0.0	1.8290281764467766	1.9047971888132111	1.6112235215132409	1.7600661209367956	3.8854387093323757
ENSG00000225630	236.83552892783274	108.83768815476968	501.57469883358453	185.43886345875956	321.7279485202053	208.3622333148299
ENSG00000237973	4.740942914568511	10.142038287542853	7.347603932479736	19.810844232112256	7.63797974451898	14.987771353173237
ENSG00000278791	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229344	2.14524191119625	2.9929551978219977	4.155921139228824	0.8788491935526768	1.9200721319310496	1.0596651025451933
ENSG00000240409	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000248527	3037.826353272072	1963.2643412908437	4990.266552317056	2411.582835547748	3962.1181853003804	2893.9500631791284
ENSG00000198744	0.0	1.2438729097590508	3.8862041365914872	0.0	2.393947338166318	1.321191224745561
ENSG00000268663	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284662	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000229376	0.0	0.0	0.0	0.0	0.0	0.0
